request_id,task_text,actual_total,actual_input,actual_output,actual_llm_calls,actual_tool_calls,pred_heuristic,pred_gbt,static_baseline
d4daf8aa-e6d1-418d-948e-f790883cfca7,"Re-run that ""Credit Card sector, weekly, visualize"" query in the UI",28379,26653,1726,6,3.0,7700,10322,10169
8ccbfe3d-abb2-4edb-8f41-744d4bcb4a94,"Please run query ""SELECT
    vertical                                          AS vertical,
    FORMAT_TIMESTAMP('%Y-%m', TIMESTAMP(financed",25241,24523,718,7,5.0,14061,17736,10169
8e7ab74c-0a99-4bcb-9100-d36d77b09699,What specific marketing strategies were in place during the months with the highest application rates?,33023,31539,1484,9,5.0,5330,6616,10169
9e0130a1-4c6e-4476-8131-e8dc663084fc,could you please share me some data and,68013,65026,2987,15,9.0,5330,6710,10169
167058c5-efb6-4748-81c4-61b8b0949938,"please run query and analyze results ""bq query --use_legacy_sql=false --project_id=ck-analytics-orchestration \
  'SELECT request_id, sessio",26681,25852,829,8,6.0,8068,10024,10169
f3a4efa6-2905-4321-963f-9fb63b50a0ba,Please show me last 12 months credit card vertical data,38341,37022,1319,9,7.0,5330,6697,10169
1e7d8d6c-053b-4c48-91f7-ea9919c1336a,"you may use this query ""SELECT
    vertical                                          AS vertical,
    FORMAT_TIMESTAMP('%Y-%m', TIMESTAMP(fi",57035,54804,2231,12,8.0,14138,17735,10169
071c868e-1187-4dff-97d1-452f6cf67b11,"Please run query and analyze data and summary and also plot chart for Credit Card revenue for last 12 months . Here is sql QUERY ""SELECT
   ",18448,17152,1296,4,2.0,21667,17735,10169
931ddc66-bccc-458a-8c84-4393fee33dca,show a bar chart of revenue by vertical,35205,32681,2524,7,3.0,5330,6710,10169
8b66a3ee-8125-43d0-8092-61dd6e31df5a,"Please run query and analyze data and summary and also plot chart for Credit Card revenue for last 12 months . Here is sql QUERY ""SELECT
ver",30316,29495,821,8,6.0,21667,17735,10169
341907f4-fe04-4ba0-affb-17f33284c8ed,"you definately have access, please try again running query ""SELECT
    vertical                                          AS vertical,
    FO",46426,44495,1931,11,7.0,14061,17736,10169
f4327d83-72da-4a4b-a357-793754da84dd,show a bar chart of revenue by vertical,67292,63990,3302,14,8.0,5330,6710,10169
287a3a4d-0067-4a92-97f1-36c6e9e84988,list datasets and tables,9188,8755,433,3,1.0,5330,6710,10169
697146a3-9d3c-4051-9eea-9010b6ecfb5c,"what do you mean no datsets, there are datasets and tables in this project",16476,15590,886,5,1.0,5330,6557,10169
07d09001-7df3-4e28-8a14-a46ed7ce4206,use this project ck-analytics-orchestration and list datasbets,31284,29461,1823,9,6.0,5330,6710,10169
63e7b76a-635e-4cb1-be30-e88447587726,list bq datasets lis here,8361,7802,559,3,1.0,5330,6710,10169
